order_item_id,order_id,product_id,quantity,unit_price,discount
OI000055,O00019,P0033,5,20746.57,0.1
OI000056,O00019,P0045,5,22454.73,0.0
OI000057,O00020,P0046,5,23621.0,0.05
OI000058,O00020,P0042,4,27113.7,0.0
OI000059,O00020,P0087,4,2082.59,0.1
OI000063,O00022,P0109,2,5510.83,0.0
OI000064,O00022,P0117,2,13360.22,0.0
OI000066,O00022,P0011,3,29653.81,0.15
OI000067,O00023,P0078,3,9794.29,0.05
OI000068,O00023,P0083,3,9132.71,0.15
OI000069,O00023,P0051,5,29022.02,0.1
OI000070,O00024,P0053,1,16152.78,0.0
OI000071,O00024,P0022,2,29352.73,0.15
OI000072,O00024,P0024,3,9812.32,0.15
OI000073,O00024,P0110,1,10608.58,0.0
OI000076,O00026,P0004,4,8571.23,0.1
OI000077,O00027,P0014,3,15835.42,0.1
OI000078,O00028,P0011,4,29653.81,0.0
OI000079,O00028,P0084,2,29957.77,0.0
OI000080,O00029,P0057,2,6734.45,0.1
OI000081,O00029,P0081,2,15455.55,0.0
OI000082,O00029,P0017,1,18742.99,0.15
OI000083,O00030,P0111,4,19761.46,0.05
OI000084,O00030,P0118,5,13328.28,0.0
OI000085,O00030,P0042,5,27113.7,0.05
OI000086,O00031,P0090,2,12974.36,0.1
OI000087,O00031,P0070,5,19923.53,0.05
OI000088,O00032,P0056,3,26540.94,0.05
OI000089,O00032,P0068,5,1929.24,0.0
OI000090,O00032,P0082,1,6739.91,0.05
OI000091,O00032,P0069,3,28476.44,0.0
OI000092,O00032,P0040,4,18259.1,0.0
OI000093,O00033,P0039,1,22385.74,0.1
OI000094,O00033,P0002,2,25937.12,0.0
OI000095,O00034,P0061,4,11732.74,0.2
OI000096,O00034,P0069,4,28476.44,0.0
OI000097,O00034,P0002,1,25937.12,0.2
OI000098,O00035,P0103,1,19743.28,0.1
OI000099,O00035,P0038,3,361.97,0.0
OI000100,O00035,P0077,4,4058.28,0.1
OI000101,O00035,P0030,4,7749.16,0.05
OI000102,O00036,P0021,4,29923.09,0.2
OI000103,O00036,P0092,4,26656.16,0.0
OI000104,O00037,P0011,2,29653.81,0.1
OI000105,O00037,P0055,5,20284.12,0.2
OI000106,O00037,P0081,3,15455.55,0.0
OI000107,O00038,P0104,1,25379.76,0.0
OI000108,O00038,P0035,2,7207.71,0.0
OI000109,O00038,P0053,1,16152.78,0.15
OI000110,O00038,P0025,4,11320.25,0.1
OI000111,O00038,P0110,4,10608.58,0.0
OI000112,O00039,P0063,1,19689.07,0.1
OI000113,O00039,P0025,1,11320.25,0.0
OI000114,O00039,P0042,1,27113.7,0.0
OI000115,O00039,P0003,3,28035.34,0.0
OI000116,O00039,P0020,4,1192.67,0.15
OI000117,O00040,P0030,1,7749.16,0.0
OI000118,O00041,P0064,2,12314.5,0.0
OI000119,O00042,P0040,3,18259.1,0.05
OI000120,O00042,P0101,1,29055.75,0.0
OI000121,O00042,P0103,1,19743.28,0.2
OI000122,O00042,P0064,2,12314.5,0.0
OI000123,O00043,P0100,5,26223.39,0.05
OI000124,O00043,P0051,2,29022.02,0.0
OI000126,O00044,P0107,2,20288.3,0.05
OI000127,O00044,P0002,4,25937.12,0.0
OI000128,O00044,P0016,1,14148.38,0.0
OI000129,O00044,P0099,4,9969.82,0.15
OI000130,O00045,P0067,2,29430.12,0.05
OI000131,O00046,P0088,2,16504.89,0.15
OI000132,O00046,P0040,1,18259.1,0.15
OI000133,O00046,P0120,5,20385.15,0.1
OI000134,O00046,P0042,1,27113.7,0.0
OI000135,O00047,P0082,1,6739.91,0.2
OI000136,O00047,P0039,2,22385.74,0.0
OI000137,O00047,P0026,2,12432.11,0.15
OI000138,O00047,P0047,4,15113.63,0.0
OI000139,O00048,P0022,3,29352.73,0.1
OI000140,O00049,P0051,2,29022.02,0.0
OI000141,O00050,P0075,4,8404.97,0.15
OI000142,O00051,P0020,2,1192.67,0.05
OI000143,O00051,P0048,1,27431.78,0.15
OI000144,O00051,P0099,5,9969.82,0.0
OI000145,O00051,P0012,1,28948.95,0.0
OI000146,O00051,P0032,3,28363.64,0.15
OI000147,O00052,P0090,1,12974.36,0.0
OI000148,O00052,P0069,4,28476.44,0.0
OI000149,O00053,P0072,3,23634.91,0.2
OI000150,O00053,P0101,4,29055.75,0.15
OI000151,O00053,P0083,2,9132.71,0.0
OI000152,O00054,P0046,1,23621.0,0.05
OI000153,O00054,P0093,4,12034.06,0.1
OI000154,O00054,P0018,3,25587.96,0.1
OI000155,O00054,P0033,4,20746.57,0.0
OI000156,O00055,P0024,4,9812.32,0.0
OI000157,O00055,P0070,5,19923.53,0.2
OI000158,O00055,P0045,5,22454.73,0.0
OI000159,O00055,P0042,1,27113.7,0.1
OI000160,O00055,P0094,2,12871.71,0.05
OI000161,O00056,P0105,3,17274.11,0.05
OI000162,O00056,P0034,1,29981.28,0.2
OI000163,O00056,P0070,5,19923.53,0.05
OI000164,O00057,P0114,5,9431.72,0.2
OI000165,O00057,P0003,3,28035.34,0.2
OI000166,O00058,P0031,5,20367.01,0.2
OI000167,O00058,P0042,4,27113.7,0.0
OI000168,O00058,P0093,5,12034.06,0.15
OI000169,O00058,P0009,4,11563.17,0.2
OI000170,O00058,P0085,5,20620.59,0.0
OI000171,O00059,P0037,1,29340.98,0.1
OI000172,O00059,P0042,1,27113.7,0.0
OI000173,O00059,P0053,2,16152.78,0.0
OI000174,O00059,P0083,1,9132.71,0.0
OI000175,O00059,P0015,1,12370.16,0.05
OI000177,O00060,P0005,4,29967.2,0.15
OI000178,O00061,P0068,3,1929.24,0.0
OI000179,O00061,P0080,3,22400.48,0.0
OI000180,O00061,P0090,5,12974.36,0.15
OI000181,O00061,P0076,1,7609.55,0.0
OI000182,O00062,P0084,1,29957.77,0.05
OI000183,O00062,P0063,1,19689.07,0.0
OI000184,O00063,P0096,1,2845.8,0.2
OI000185,O00063,P0114,5,9431.72,0.0
OI000186,O00063,P0054,5,17586.66,0.0
OI000187,O00063,P0106,1,29239.45,0.2
OI000188,O00063,P0048,3,27431.78,0.0
OI000189,O00064,P0067,1,29430.12,0.15
OI000191,O00065,P0025,5,11320.25,0.15
OI000192,O00065,P0068,2,1929.24,0.1
OI000193,O00065,P0085,5,20620.59,0.05
OI000194,O00065,P0032,1,28363.64,0.2
OI000195,O00066,P0046,4,23621.0,0.0
OI000196,O00066,P0087,2,2082.59,0.2
OI000197,O00066,P0059,2,28394.29,0.1
OI000198,O00066,P0090,4,12974.36,0.1
OI000199,O00066,P0086,3,26990.09,0.15
OI000200,O00067,P0069,4,28476.44,0.0
OI000201,O00067,P0077,3,4058.28,0.1
OI000202,O00068,P0109,4,5510.83,0.2
OI000203,O00068,P0048,3,27431.78,0.1
OI000204,O00068,P0053,2,16152.78,0.1
OI000205,O00069,P0028,3,20532.06,0.0
OI000206,O00069,P0049,4,22427.19,0.05
OI000207,O00069,P0099,4,9969.82,0.0
OI000208,O00069,P0071,1,1631.29,0.0
OI000209,O00069,P0119,5,3520.87,0.0
OI000210,O00070,P0018,2,25587.96,0.2
OI000211,O00070,P0114,3,9431.72,0.0
OI000212,O00070,P0039,3,22385.74,0.1
OI000213,O00070,P0001,5,5815.44,0.1
OI000214,O00070,P0029,5,7057.79,0.1
OI000216,O00071,P0005,2,29967.2,0.0
OI000217,O00072,P0047,2,15113.63,0.0
OI000218,O00072,P0114,3,9431.72,0.2
OI000219,O00072,P0075,3,8404.97,0.0
OI000220,O00073,P0052,1,2818.25,0.15
OI000221,O00073,P0073,3,6309.86,0.2
OI000222,O00073,P0118,4,13328.28,0.0
OI000223,O00073,P0028,4,20532.06,0.2
OI000224,O00073,P0094,5,12871.71,0.2
OI000225,O00074,P0077,3,4058.28,0.0
OI000226,O00075,P0049,3,22427.19,0.0
OI000227,O00075,P0011,4,29653.81,0.05
OI000228,O00075,P0100,1,26223.39,0.2
OI000229,O00075,P0008,2,26103.7,0.15
OI000230,O00075,P0118,5,13328.28,0.0
OI000231,O00076,P0007,3,22914.64,0.1
OI000232,O00076,P0040,5,18259.1,0.0
OI000233,O00076,P0068,3,1929.24,0.1
OI000234,O00076,P0006,2,16212.79,0.0
OI000235,O00077,P0087,4,2082.59,0.05
OI000236,O00078,P0074,3,23258.13,0.2
OI000237,O00078,P0065,4,20745.59,0.0
OI000238,O00078,P0012,2,28948.95,0.0
OI000239,O00078,P0029,1,7057.79,0.05
OI000240,O00078,P0056,5,26540.94,0.15
OI000241,O00079,P0071,4,1631.29,0.0
OI000242,O00080,P0052,5,2818.25,0.05
OI000243,O00081,P0098,4,16744.36,0.1
OI000244,O00081,P0018,2,25587.96,0.05
OI000245,O00082,P0084,5,29957.77,0.15
OI000246,O00082,P0074,5,23258.13,0.0
OI000247,O00082,P0026,2,12432.11,0.0
OI000248,O00082,P0072,3,23634.91,0.2
OI000249,O00083,P0042,1,27113.7,0.0
OI000250,O00083,P0088,4,16504.89,0.05
OI000251,O00083,P0119,3,3520.87,0.0
OI000252,O00083,P0074,2,23258.13,0.0
OI000253,O00084,P0077,3,4058.28,0.0
OI000254,O00084,P0084,3,29957.77,0.1
OI000255,O00084,P0004,4,8571.23,0.1
OI000256,O00085,P0057,2,6734.45,0.0
OI000257,O00085,P0006,3,16212.79,0.0
OI000258,O00086,P0015,1,12370.16,0.0
OI000259,O00087,P0119,3,3520.87,0.0
OI000260,O00087,P0019,3,28629.69,0.15
OI000261,O00087,P0112,1,2861.72,0.0
OI000262,O00087,P0107,4,20288.3,0.05
OI000263,O00087,P0105,1,17274.11,0.0
OI000264,O00088,P0095,2,28613.34,0.0
OI000265,O00088,P0069,5,28476.44,0.1
OI000266,O00089,P0071,2,1631.29,0.15
OI000267,O00089,P0062,1,17669.73,0.05
OI000268,O00089,P0080,5,22400.48,0.15
OI000269,O00090,P0006,2,16212.79,0.2
OI000270,O00090,P0033,5,20746.57,0.0
OI000271,O00090,P0022,1,29352.73,0.05
OI000272,O00090,P0008,1,26103.7,0.0
OI000273,O00090,P0037,4,29340.98,0.15
OI000274,O00091,P0085,3,20620.59,0.2
OI000275,O00091,P0110,1,10608.58,0.0
OI000276,O00091,P0117,3,13360.22,0.2
OI000277,O00092,P0030,1,7749.16,0.0
OI000278,O00092,P0049,4,22427.19,0.2
OI000279,O00092,P0066,5,28522.59,0.1
OI000280,O00092,P0091,1,21658.7,0.0
OI000281,O00093,P0065,5,20745.59,0.15
OI000282,O00093,P0059,1,28394.29,0.0
OI000283,O00094,P0119,3,3520.87,0.0
OI000284,O00094,P0068,4,1929.24,0.05
OI000285,O00095,P0003,3,28035.34,0.0
OI000286,O00095,P0045,3,22454.73,0.0
OI000287,O00096,P0036,4,8960.67,0.2
OI000288,O00096,P0104,1,25379.76,0.1
OI000289,O00096,P0008,3,26103.7,0.0
OI000290,O00096,P0081,2,15455.55,0.0
OI000291,O00096,P0033,4,20746.57,0.15
OI000292,O00097,P0012,4,28948.95,0.1
OI000293,O00097,P0094,5,12871.71,0.2
OI000294,O00098,P0054,5,17586.66,0.0
OI000295,O00098,P0031,4,20367.01,0.0
OI000296,O00099,P0043,2,23683.68,0.1
OI000297,O00099,P0058,5,19519.27,0.15
OI000298,O00099,P0070,2,19923.53,0.2
OI000299,O00099,P0017,2,18742.99,0.0
OI000300,O00099,P0027,5,5351.07,0.0
OI000301,O00100,P0117,5,13360.22,0.0
OI000302,O00100,P0099,3,9969.82,0.0
OI000303,O00100,P0019,5,28629.69,0.1
OI000304,O00100,P0084,1,29957.77,0.0
OI000305,O00101,P0108,1,27881.04,0.2
OI000306,O00101,P0113,3,12664.59,0.05
OI000307,O00101,P0019,4,28629.69,0.0
OI000308,O00102,P0096,3,2845.8,0.0
OI000309,O00102,P0120,2,20385.15,0.0
OI000310,O00102,P0106,2,29239.45,0.0
OI000311,O00102,P0115,1,2658.52,0.2
OI000312,O00103,P0079,5,3907.55,0.0
OI000313,O00103,P0035,2,7207.71,0.15
OI000314,O00103,P0078,1,9794.29,0.0
OI000315,O00103,P0073,1,6309.86,0.15
OI000316,O00103,P0030,4,7749.16,0.0
OI000317,O00104,P0109,3,5510.83,0.0
OI000318,O00104,P0078,4,9794.29,0.05
OI000319,O00104,P0061,4,11732.74,0.0
OI000320,O00104,P0092,2,26656.16,0.0
OI000321,O00104,P0084,2,29957.77,0.0
OI000322,O00105,P0098,4,16744.36,0.0
OI000323,O00105,P0002,2,25937.12,0.2
OI000324,O00105,P0119,2,3520.87,0.0
OI000325,O00105,P0035,2,7207.71,0.05
OI000326,O00106,P0063,2,19689.07,0.05
OI000327,O00106,P0089,4,15973.04,0.2
OI000328,O00106,P0042,1,27113.7,0.1
OI000329,O00106,P0111,4,19761.46,0.15
OI000330,O00106,P0059,3,28394.29,0.05
OI000331,O00107,P0096,1,2845.8,0.1
OI000332,O00107,P0074,1,23258.13,0.05
OI000333,O00107,P0077,4,4058.28,0.2
OI000334,O00107,P0069,1,28476.44,0.0
OI000335,O00107,P0068,5,1929.24,0.1
OI000336,O00108,P0095,5,28613.34,0.2
OI000337,O00108,P0006,1,16212.79,0.0
OI000338,O00108,P0072,3,23634.91,0.05
OI000339,O00108,P0050,4,28891.25,0.0
OI000340,O00109,P0060,3,3024.1,0.1
OI000341,O00109,P0022,1,29352.73,0.15
OI000342,O00109,P0055,5,20284.12,0.0
OI000343,O00110,P0107,5,20288.3,0.0
OI000344,O00110,P0083,2,9132.71,0.2
OI000345,O00110,P0058,5,19519.27,0.15
OI000346,O00110,P0012,5,28948.95,0.0
OI000347,O00111,P0053,2,16152.78,0.05
OI000348,O00111,P0042,5,27113.7,0.15
OI000349,O00111,P0058,2,19519.27,0.05
OI000350,O00111,P0004,1,8571.23,0.0
OI000351,O00112,P0089,2,15973.04,0.15
OI000352,O00112,P0084,1,29957.77,0.0
OI000353,O00112,P0117,1,13360.22,0.15
OI000354,O00113,P0082,4,6739.91,0.15
OI000355,O00113,P0047,5,15113.63,0.1
OI000356,O00113,P0011,2,29653.81,0.05
OI000357,O00113,P0068,5,1929.24,0.05
OI000358,O00114,P0099,2,9969.82,0.0
OI000359,O00115,P0112,2,2861.72,0.0
OI000360,O00115,P0085,1,20620.59,0.05
OI000361,O00115,P0111,3,19761.46,0.0
OI000362,O00115,P0020,4,1192.67,0.0
OI000363,O00115,P0021,2,29923.09,0.0
OI000364,O00116,P0026,5,12432.11,0.2
OI000365,O00116,P0001,3,5815.44,0.0
OI000366,O00117,P0064,1,12314.5,0.1
OI000367,O00117,P0110,4,10608.58,0.0
OI000368,O00117,P0070,2,19923.53,0.1
OI000369,O00117,P0104,4,25379.76,0.05
OI000370,O00118,P0057,2,6734.45,0.1
OI000371,O00118,P0011,3,29653.81,0.1
OI000372,O00118,P0077,5,4058.28,0.2
OI000373,O00118,P0001,2,5815.44,0.0
OI000374,O00119,P0019,3,28629.69,0.0
OI000375,O00119,P0008,2,26103.7,0.2
OI000376,O00120,P0086,5,26990.09,0.2
OI000377,O00121,P0039,1,22385.74,0.05
OI000378,O00121,P0043,2,23683.68,0.0
OI000379,O00121,P0118,3,13328.28,0.1
OI000380,O00121,P0012,5,28948.95,0.1
OI000381,O00121,P0007,5,22914.64,0.0
OI000382,O00122,P0096,1,2845.8,0.0
OI000383,O00122,P0075,3,8404.97,0.0
OI000384,O00122,P0047,3,15113.63,0.05
OI000385,O00122,P0120,1,20385.15,0.2
OI000386,O00123,P0108,4,27881.04,0.0
OI000387,O00123,P0071,1,1631.29,0.15
OI000388,O00123,P0009,3,11563.17,0.0
OI000389,O00123,P0038,5,361.97,0.05
OI000390,O00124,P0027,5,5351.07,0.15
OI000391,O00124,P0090,5,12974.36,0.0
OI000392,O00124,P0079,4,3907.55,0.15
OI000393,O00124,P0008,5,26103.7,0.2
OI000394,O00124,P0014,3,15835.42,0.05
OI000395,O00125,P0109,5,5510.83,0.0
OI000396,O00125,P0041,2,18672.23,0.1
OI000397,O00125,P0034,5,29981.28,0.05
OI000398,O00125,P0068,5,1929.24,0.15
OI000399,O00125,P0074,4,23258.13,0.05
OI000400,O00126,P0114,2,9431.72,0.15
OI000401,O00126,P0079,3,3907.55,0.0
OI000402,O00127,P0016,1,14148.38,0.05
OI000403,O00128,P0095,2,28613.34,0.2
OI000404,O00129,P0054,5,17586.66,0.2
OI000405,O00129,P0053,2,16152.78,0.0
OI000406,O00129,P0006,2,16212.79,0.15
OI000407,O00129,P0043,3,23683.68,0.0
OI000408,O00129,P0045,1,22454.73,0.0
OI000409,O00130,P0065,1,20745.59,0.0
OI000410,O00130,P0071,3,1631.29,0.0
OI000411,O00130,P0042,4,27113.7,0.15
OI000412,O00131,P0079,3,3907.55,0.2
OI000413,O00131,P0004,3,8571.23,0.15
OI000414,O00131,P0107,4,20288.3,0.05
OI000415,O00131,P0023,1,5090.98,0.15
OI000416,O00131,P0025,2,11320.25,0.05
OI000417,O00132,P0081,5,15455.55,0.0
OI000418,O00132,P0059,4,28394.29,0.2
OI000419,O00133,P0119,5,3520.87,0.0
OI000420,O00133,P0096,5,2845.8,0.15
OI000421,O00133,P0008,3,26103.7,0.1
OI000422,O00133,P0107,5,20288.3,0.0
OI000423,O00134,P0074,3,23258.13,0.2
OI000424,O00134,P0088,3,16504.89,0.0
OI000425,O00135,P0036,1,8960.67,0.0
OI000426,O00135,P0108,4,27881.04,0.15
OI000427,O00136,P0108,2,27881.04,0.1
OI000428,O00136,P0022,1,29352.73,0.2
OI000429,O00136,P0074,3,23258.13,0.15
OI000430,O00136,P0078,3,9794.29,0.15
OI000431,O00136,P0050,1,28891.25,0.0
OI000432,O00137,P0012,3,28948.95,0.05
OI000433,O00137,P0064,3,12314.5,0.0
OI000434,O00137,P0113,5,12664.59,0.0
OI000435,O00137,P0031,2,20367.01,0.0
OI000436,O00138,P0101,2,29055.75,0.0
OI000437,O00138,P0005,4,29967.2,0.1
OI000438,O00138,P0100,1,26223.39,0.2
OI000439,O00139,P0116,3,22662.54,0.05
OI000440,O00139,P0065,5,20745.59,0.0
OI000441,O00139,P0020,3,1192.67,0.0
OI000442,O00139,P0025,1,11320.25,0.2
OI000443,O00140,P0087,4,2082.59,0.05
OI000444,O00140,P0017,5,18742.99,0.0
OI000445,O00140,P0027,1,5351.07,0.0
OI000446,O00140,P0093,1,12034.06,0.15
OI000447,O00140,P0005,5,29967.2,0.2
OI000448,O00141,P0043,4,23683.68,0.0
OI000449,O00142,P0067,3,29430.12,0.0
OI000450,O00143,P0098,3,16744.36,0.0
OI000451,O00143,P0040,2,18259.1,0.0
OI000452,O00143,P0082,3,6739.91,0.1
OI000453,O00143,P0115,3,2658.52,0.2
OI000454,O00143,P0027,4,5351.07,0.15
OI000455,O00144,P0035,2,7207.71,0.0
OI000456,O00145,P0015,5,12370.16,0.1
OI000457,O00145,P0002,1,25937.12,0.0
OI000458,O00145,P0080,5,22400.48,0.0
OI000459,O00146,P0041,3,18672.23,0.1
OI000460,O00146,P0035,2,7207.71,0.0
OI000461,O00146,P0019,1,28629.69,0.0
OI000462,O00146,P0091,5,21658.7,0.0
OI000463,O00146,P0103,5,19743.28,0.05
OI000464,O00147,P0017,1,18742.99,0.05
OI000465,O00148,P0014,4,15835.42,0.0
OI000466,O00149,P0055,4,20284.12,0.0
OI000467,O00150,P0115,4,2658.52,0.1
OI000468,O00150,P0076,3,7609.55,0.0
OI000469,O00150,P0081,3,15455.55,0.2
OI000470,O00150,P0108,2,27881.04,0.15
OI000471,O00150,P0089,5,15973.04,0.0
OI000472,O00151,P0073,4,6309.86,0.0
OI000473,O00151,P0017,4,18742.99,0.0
OI000474,O00151,P0012,4,28948.95,0.05
OI000475,O00151,P0105,2,17274.11,0.0
OI000476,O00152,P0111,5,19761.46,0.0
OI000477,O00152,P0115,3,2658.52,0.05
OI000478,O00153,P0090,3,12974.36,0.2
OI000479,O00153,P0118,3,13328.28,0.05
OI000480,O00154,P0004,3,8571.23,0.05
OI000481,O00154,P0009,4,11563.17,0.2
OI000482,O00154,P0061,2,11732.74,0.0
OI000483,O00154,P0015,3,12370.16,0.1
OI000484,O00155,P0017,1,18742.99,0.0
OI000485,O00155,P0066,5,28522.59,0.15
OI000486,O00155,P0014,1,15835.42,0.2
OI000487,O00155,P0052,3,2818.25,0.1
OI000488,O00155,P0105,4,17274.11,0.05
OI000489,O00156,P0053,2,16152.78,0.05
OI000490,O00156,P0031,4,20367.01,0.0
OI000491,O00156,P0080,3,22400.48,0.0
OI000492,O00156,P0032,5,28363.64,0.05
OI000493,O00156,P0071,4,1631.29,0.1
OI000494,O00157,P0070,2,19923.53,0.15
OI000495,O00157,P0089,1,15973.04,0.15
OI000496,O00157,P0031,5,20367.01,0.2
OI000497,O00158,P0015,3,12370.16,0.1
OI000498,O00158,P0076,1,7609.55,0.2
OI000499,O00158,P0077,4,4058.28,0.0
OI000500,O00158,P0060,3,3024.1,0.05
OI000501,O00159,P0077,1,4058.28,0.15
OI000502,O00160,P0099,1,9969.82,0.0
OI000503,O00160,P0105,2,17274.11,0.2
OI000504,O00160,P0049,2,22427.19,0.1
OI000505,O00160,P0042,1,27113.7,0.2
OI000506,O00160,P0064,2,12314.5,0.15
OI000507,O00161,P0058,3,19519.27,0.05
OI000508,O00161,P0069,5,28476.44,0.1
OI000509,O00162,P0026,3,12432.11,0.0
OI000510,O00162,P0027,5,5351.07,0.2
OI000511,O00162,P0088,3,16504.89,0.05
OI000512,O00162,P0113,3,12664.59,0.0
OI000513,O00163,P0002,2,25937.12,0.2
OI000514,O00163,P0079,3,3907.55,0.0
OI000515,O00163,P0066,3,28522.59,0.1
OI000516,O00163,P0052,1,2818.25,0.0
OI000517,O00163,P0109,5,5510.83,0.2
OI000518,O00164,P0015,1,12370.16,0.0
OI000519,O00164,P0111,4,19761.46,0.15
OI000520,O00164,P0037,5,29340.98,0.05
OI000521,O00165,P0092,4,26656.16,0.05
OI000522,O00165,P0049,5,22427.19,0.0
OI000523,O00165,P0052,2,2818.25,0.05
OI000524,O00166,P0025,4,11320.25,0.2
OI000525,O00166,P0072,3,23634.91,0.2
OI000526,O00167,P0020,2,1192.67,0.0
OI000527,O00167,P0037,1,29340.98,0.0
OI000528,O00167,P0112,1,2861.72,0.0
OI000529,O00167,P0086,4,26990.09,0.15
OI000530,O00168,P0018,4,25587.96,0.2
OI000531,O00168,P0011,4,29653.81,0.2
OI000532,O00168,P0083,5,9132.71,0.05
OI000533,O00168,P0104,5,25379.76,0.0
OI000534,O00169,P0066,4,28522.59,0.05
OI000535,O00169,P0055,3,20284.12,0.0
OI000536,O00169,P0071,2,1631.29,0.05
OI000537,O00169,P0105,5,17274.11,0.0
OI000538,O00170,P0064,5,12314.5,0.0
OI000539,O00170,P0109,4,5510.83,0.1
OI000540,O00170,P0094,5,12871.71,0.0
OI000541,O00170,P0031,1,20367.01,0.0
OI000542,O00170,P0092,5,26656.16,0.05
OI000543,O00171,P0015,1,12370.16,0.0
OI000544,O00171,P0075,5,8404.97,0.2
OI000545,O00171,P0062,3,17669.73,0.05
OI000546,O00172,P0011,2,29653.81,0.05
OI000547,O00172,P0067,1,29430.12,0.15
OI000548,O00172,P0114,5,9431.72,0.2
OI000549,O00172,P0079,5,3907.55,0.0
OI000550,O00172,P0012,5,28948.95,0.0
OI000551,O00173,P0069,4,28476.44,0.05
OI000552,O00173,P0100,5,26223.39,0.05
OI000553,O00173,P0002,5,25937.12,0.15
OI000554,O00174,P0054,3,17586.66,0.0
OI000555,O00174,P0046,2,23621.0,0.0
OI000556,O00174,P0103,5,19743.28,0.15
OI000557,O00175,P0094,3,12871.71,0.0
OI000558,O00175,P0101,4,29055.75,0.1
OI000559,O00175,P0073,2,6309.86,0.1
OI000560,O00176,P0085,3,20620.59,0.2
OI000561,O00177,P0004,5,8571.23,0.0
OI000562,O00177,P0037,3,29340.98,0.0
OI000563,O00177,P0063,2,19689.07,0.1
OI000564,O00177,P0011,3,29653.81,0.0
OI000565,O00177,P0017,3,18742.99,0.0
OI000566,O00178,P0078,2,9794.29,0.1
OI000567,O00179,P0085,3,20620.59,0.2
OI000568,O00179,P0058,2,19519.27,0.0
OI000569,O00180,P0063,5,19689.07,0.2
OI000570,O00180,P0024,1,9812.32,0.0
OI000571,O00181,P0019,5,28629.69,0.2
OI000572,O00182,P0108,4,27881.04,0.2
OI000573,O00182,P0064,4,12314.5,0.0
OI000574,O00183,P0093,5,12034.06,0.15
OI000575,O00183,P0082,3,6739.91,0.0
OI000576,O00183,P0022,3,29352.73,0.2
OI000577,O00183,P0027,1,5351.07,0.0
OI000578,O00184,P0060,4,3024.1,0.0
OI000579,O00184,P0052,4,2818.25,0.15
OI000580,O00185,P0030,4,7749.16,0.0
OI000581,O00185,P0049,2,22427.19,0.1
OI000582,O00185,P0088,4,16504.89,0.0
OI000583,O00185,P0091,3,21658.7,0.2
OI000584,O00185,P0050,4,28891.25,0.05
OI000585,O00186,P0068,1,1929.24,0.1
OI000586,O00186,P0088,3,16504.89,0.2
OI000587,O00186,P0006,4,16212.79,0.1
OI000588,O00187,P0043,1,23683.68,0.0
OI000589,O00187,P0035,5,7207.71,0.05
OI000590,O00187,P0103,4,19743.28,0.2
OI000591,O00188,P0094,5,12871.71,0.2
OI000592,O00188,P0087,2,2082.59,0.1
OI000593,O00189,P0087,3,2082.59,0.1
OI000594,O00189,P0089,1,15973.04,0.15
OI000595,O00189,P0024,1,9812.32,0.2
OI000596,O00190,P0002,4,25937.12,0.0
OI000597,O00191,P0014,3,15835.42,0.0
OI000598,O00191,P0088,2,16504.89,0.0
OI000599,O00191,P0058,1,19519.27,0.1
OI000600,O00191,P0045,1,22454.73,0.0
OI000601,O00191,P0029,5,7057.79,0.15
