order_id,customer_id,order_date,order_status,payment_method
O00174,C0373,2024-05-17,Cancelled,Debit Card
O00175,C0024,2026-02-21,Delivered,Cash on Delivery
O00176,C0100,2024-02-22,Delivered,Debit Card
O00177,C0198,2025-07-20,Delivered,Net Banking
O00178,C0144,2025-04-06,Processing,Net Banking
O00179,C0066,2025-11-27,Delivered,UPI
O00180,C0174,2025-02-07,Delivered,Net Banking
O00181,C0102,2025-01-09,Processing,Net Banking
O00182,C0021,2025-06-05,Delivered,UPI
O00183,C0171,2024-02-09,Delivered,Cash on Delivery
O00184,C0311,2025-06-15,Delivered,Net Banking
O00185,C0314,2024-05-23,Delivered,Debit Card
O00186,C0316,2024-06-15,Delivered,Debit Card
O00187,C0261,2025-08-30,Delivered,Net Banking
O00188,C0154,2025-05-16,Shipped,Cash on Delivery
O00189,C0170,2026-04-15,Delivered,UPI
O00190,C0372,2025-03-02,Delivered,UPI
O00191,C0336,2025-09-03,Delivered,Net Banking
O00192,C0027,2025-08-14,Delivered,Net Banking
O00193,C0323,2025-05-06,Delivered,Net Banking
O00194,C0076,2026-03-04,Cancelled,Credit Card
O00195,C0359,2024-02-02,Delivered,UPI
O00196,C0161,2024-07-14,Delivered,Cash on Delivery
O00197,C0105,2024-06-04,Delivered,Cash on Delivery
O00198,C0242,2025-05-28,Processing,UPI
O00199,C0107,2025-12-23,Delivered,Net Banking
O00200,C0245,2024-11-28,Returned,Net Banking
O00201,C0089,2025-01-20,Delivered,Cash on Delivery
O00202,C0182,2025-06-29,Delivered,Debit Card
O00203,C0127,2025-09-16,Delivered,Debit Card
O00204,C0153,2025-07-25,Delivered,Debit Card
O00205,C0361,2025-12-22,Delivered,Cash on Delivery
O00206,C0287,2024-11-20,Delivered,Debit Card
O00207,C0347,2024-10-21,Delivered,Net Banking
O00208,C0203,2025-01-23,Cancelled,Debit Card
O00209,C0149,2026-03-02,Processing,UPI
O00210,C0041,2024-10-21,Returned,Debit Card
O00211,C0383,2025-03-28,Shipped,Cash on Delivery
O00212,C0276,2024-08-07,Delivered,Debit Card
O00213,C0071,2025-07-29,Shipped,UPI
O00214,C0123,2025-09-22,Processing,Credit Card
O00215,C0272,2024-02-21,Shipped,Credit Card
O00216,C0052,2025-10-15,Delivered,Cash on Delivery
O00217,C0052,2024-12-04,Shipped,Credit Card
O00218,C0081,2024-01-06,Returned,Cash on Delivery
O00219,C0244,2025-10-30,Cancelled,Cash on Delivery
O00220,C0148,2025-10-28,Delivered,Debit Card
O00221,C0394,2024-10-19,Shipped,UPI
O00222,C0274,2025-10-29,Delivered,UPI
O00223,C0091,2024-06-28,Delivered,UPI
O00224,C0254,2026-05-06,Delivered,Credit Card
O00225,C0149,2026-02-05,Returned,UPI
O00226,C0309,2024-01-10,Delivered,UPI
O00227,C0329,2024-12-09,Delivered,Net Banking
O00228,C0069,2025-06-20,Delivered,Net Banking
O00229,C0058,2025-04-24,Delivered,Debit Card
O00230,C0332,2024-06-15,Shipped,Debit Card
O00231,C0378,2026-01-05,Delivered,Debit Card
O00232,C0346,2026-03-20,Delivered,Credit Card
O00233,C0328,2024-06-28,Delivered,Cash on Delivery
O00234,C0168,2026-04-26,Delivered,UPI
O00235,C0095,2025-02-14,Shipped,Credit Card
O00236,C0128,2025-05-03,Delivered,UPI
O00237,C0229,2024-09-24,Delivered,Debit Card
O00238,C0371,2024-12-03,Delivered,Net Banking
O00239,C0185,2024-01-12,Delivered,Credit Card
O00240,C0239,2024-03-04,Shipped,Debit Card
O00241,C0258,2024-06-12,Delivered,Debit Card
O00242,C0152,2025-12-07,Delivered,Debit Card
O00243,C0069,2025-09-21,Delivered,Cash on Delivery
O00244,C0311,2024-06-05,Delivered,Debit Card
O00245,C0242,2025-03-01,Shipped,Net Banking
O00246,C0112,2026-04-01,Shipped,Credit Card
O00247,C0042,2025-11-27,Processing,Net Banking
O00248,C0186,2025-04-02,Delivered,UPI
O00249,C0281,2025-07-31,Delivered,Net Banking
O00250,C0077,2024-07-26,Delivered,Credit Card
O00251,C0227,2024-12-01,Cancelled,UPI
O00252,C0299,2025-11-27,Delivered,Cash on Delivery
O00253,C0229,2024-04-03,Cancelled,UPI
O00254,C0213,2025-04-09,Delivered,Cash on Delivery
O00255,C0237,2025-07-31,Delivered,Debit Card
O00256,C0131,2026-01-10,Delivered,UPI
O00257,C0038,2026-02-02,Delivered,UPI
O00258,C0033,2025-03-09,Delivered,Net Banking
O00259,C0036,2024-03-02,Cancelled,Cash on Delivery
O00260,C0093,2024-02-02,Delivered,Credit Card
O00261,C0374,2026-02-23,Shipped,Cash on Delivery
O00262,C0196,2025-01-18,Returned,Cash on Delivery
O00263,C0194,2026-06-09,Cancelled,Cash on Delivery
O00264,C0339,2024-03-23,Shipped,Net Banking
O00265,C0179,2024-05-16,Shipped,UPI
O00266,C0202,2024-07-01,Returned,Net Banking
O00267,C0115,2024-05-10,Shipped,UPI
O00268,C0153,2026-02-13,Delivered,Cash on Delivery
O00269,C0218,2025-11-20,Shipped,Net Banking
O00270,C0127,2025-01-23,Cancelled,Cash on Delivery
O00271,C0097,2024-12-20,Delivered,UPI
O00272,C0215,2024-02-02,Processing,Net Banking
O00273,C0009,2026-02-23,Cancelled,Credit Card
O00274,C0305,2024-07-30,Delivered,UPI
O00275,C0361,2025-04-02,Delivered,UPI
O00276,C0206,2024-09-07,Processing,Cash on Delivery
O00277,C0387,2024-08-27,Delivered,UPI
O00278,C0149,2024-05-23,Delivered,Credit Card
O00279,C0295,2026-04-15,Cancelled,Debit Card
O00280,C0345,2025-08-14,Delivered,Debit Card
O00281,C0074,2024-08-30,Delivered,Net Banking
O00282,C0141,2024-08-14,Delivered,UPI
O00283,C0377,2025-07-24,Returned,Credit Card
O00284,C0285,2025-10-03,Shipped,Cash on Delivery
O00285,C0330,2024-02-18,Returned,Cash on Delivery
O00286,C0357,2026-03-15,Delivered,Cash on Delivery
O00287,C0193,2025-02-22,Delivered,Credit Card
O00288,C0124,2026-02-11,Delivered,Credit Card
O00289,C0074,2024-11-03,Cancelled,Cash on Delivery
O00290,C0214,2024-02-29,Delivered,Net Banking
O00291,C0125,2025-06-26,Delivered,Debit Card
O00292,C0041,2024-07-27,Delivered,Cash on Delivery
O00293,C0275,2026-05-17,Delivered,Credit Card
O00294,C0345,2024-02-22,Delivered,Net Banking
O00295,C0038,2025-09-09,Delivered,Credit Card
O00296,C0371,2026-04-03,Processing,Net Banking
O00297,C0171,2024-08-10,Delivered,Debit Card
O00298,C0098,2024-01-16,Delivered,UPI
O00299,C0246,2026-02-03,Returned,Credit Card
O00300,C0105,2025-12-13,Delivered,Cash on Delivery
O00301,C0398,2024-09-02,Delivered,Debit Card
O00302,C0333,2025-01-24,Delivered,Debit Card
O00303,C0263,2024-11-11,Delivered,Cash on Delivery
O00304,C0370,2025-04-22,Delivered,Cash on Delivery
O00305,C0105,2026-02-18,Cancelled,Debit Card
O00306,C0289,2024-11-16,Delivered,Credit Card
O00307,C0134,2026-01-29,Delivered,Net Banking
O00308,C0214,2025-08-21,Delivered,Debit Card
O00309,C0118,2024-06-05,Delivered,Cash on Delivery
O00310,C0256,2025-08-06,Cancelled,Net Banking
O00311,C0173,2025-11-01,Returned,Debit Card
O00312,C0371,2026-02-20,Cancelled,Cash on Delivery
O00313,C0181,2025-04-16,Delivered,Credit Card
O00314,C0251,2024-05-23,Shipped,Credit Card
O00315,C0329,2026-06-29,Delivered,UPI
O00316,C0039,2025-06-20,Delivered,UPI
O00317,C0071,2026-02-21,Delivered,Credit Card
O00318,C0005,2024-03-10,Shipped,Credit Card
O00319,C0031,2025-06-01,Delivered,Net Banking
O00320,C0316,2025-10-15,Shipped,Cash on Delivery
O00321,C0004,2025-11-06,Delivered,Net Banking
O00322,C0009,2025-07-18,Delivered,Net Banking
O00323,C0147,2026-01-09,Delivered,UPI
O00324,C0346,2025-05-29,Processing,Cash on Delivery
O00325,C0092,2026-04-05,Cancelled,UPI
O00326,C0124,2024-04-08,Delivered,Credit Card
O00327,C0182,2025-09-26,Delivered,Debit Card
O00328,C0192,2026-03-25,Delivered,Cash on Delivery
O00329,C0357,2025-04-15,Delivered,Credit Card
O00330,C0042,2024-11-03,Shipped,UPI
O00331,C0194,2024-04-05,Delivered,Net Banking
O00332,C0005,2025-05-02,Delivered,Credit Card
O00333,C0223,2024-03-25,Delivered,Debit Card
O00334,C0049,2025-08-02,Returned,Net Banking
O00335,C0355,2024-02-13,Delivered,Net Banking
O00336,C0039,2025-05-01,Delivered,Debit Card
O00337,C0337,2026-07-09,Delivered,UPI
O00338,C0162,2024-07-02,Cancelled,UPI
O00339,C0386,2024-07-31,Delivered,Cash on Delivery
O00340,C0289,2024-03-19,Delivered,Credit Card
O00341,C0200,2025-08-03,Cancelled,Net Banking
O00342,C0379,2024-12-05,Delivered,Credit Card
O00343,C0371,2026-03-20,Returned,UPI
O00344,C0178,2025-05-27,Processing,UPI
O00345,C0039,2024-04-10,Delivered,Debit Card
O00346,C0305,2025-09-11,Processing,Cash on Delivery
O00347,C0325,2026-03-03,Delivered,Debit Card
O00348,C0252,2026-03-13,Returned,Credit Card
O00349,C0193,2024-12-30,Delivered,Cash on Delivery
O00350,C0339,2024-07-09,Shipped,Cash on Delivery
O00351,C0152,2024-03-28,Processing,Credit Card
O00352,C0138,2025-12-31,Delivered,Credit Card
O00353,C0325,2025-01-24,Shipped,Credit Card
O00354,C0185,2026-01-27,Delivered,UPI
O00355,C0158,2024-04-03,Delivered,Cash on Delivery
O00356,C0053,2025-01-03,Processing,Credit Card
O00357,C0230,2024-03-30,Delivered,Net Banking
O00358,C0053,2025-07-22,Delivered,UPI
O00359,C0048,2024-04-01,Delivered,Net Banking
O00360,C0198,2025-09-04,Processing,UPI
O00361,C0399,2024-10-25,Delivered,UPI
O00362,C0125,2026-01-12,Cancelled,Net Banking
O00363,C0195,2025-06-17,Delivered,Credit Card
O00364,C0138,2024-05-22,Delivered,Cash on Delivery
O00365,C0223,2024-05-29,Delivered,Debit Card
O00366,C0040,2025-03-07,Delivered,Debit Card
O00367,C0370,2024-09-14,Returned,Cash on Delivery
O00368,C0235,2025-08-31,Delivered,UPI
O00369,C0203,2024-05-18,Delivered,Debit Card
O00370,C0169,2026-05-11,Shipped,Cash on Delivery
O00371,C0334,2024-12-08,Delivered,Net Banking
O00372,C0309,2024-05-19,Delivered,Credit Card
O00373,C0204,2025-05-05,Delivered,Debit Card
O00374,C0325,2024-10-25,Shipped,Cash on Delivery
O00375,C0167,2025-08-12,Processing,Cash on Delivery
O00376,C0202,2024-10-14,Processing,Debit Card
O00377,C0103,2024-04-26,Cancelled,Net Banking
O00378,C0394,2025-07-12,Delivered,Net Banking
O00379,C0237,2024-01-28,Returned,Credit Card
O00380,C0355,2025-03-24,Processing,UPI
O00381,C0210,2026-04-18,Cancelled,Cash on Delivery
O00382,C0124,2024-05-22,Shipped,Debit Card
O00383,C0217,2025-11-05,Delivered,Cash on Delivery
O00384,C0307,2024-03-16,Delivered,Cash on Delivery
O00385,C0260,2025-08-19,Delivered,Cash on Delivery
O00386,C0185,2025-07-10,Delivered,Net Banking
O00387,C0044,2025-08-31,Shipped,UPI
O00388,C0341,2026-02-26,Delivered,Debit Card
O00389,C0023,2024-06-19,Shipped,Net Banking
O00390,C0205,2025-10-22,Shipped,Debit Card
O00391,C0006,2026-03-26,Delivered,UPI
O00392,C0383,2024-09-21,Delivered,Net Banking
O00393,C0295,2025-07-25,Delivered,Credit Card
O00394,C0238,2025-04-01,Delivered,Net Banking
O00395,C0177,2025-12-08,Delivered,UPI
O00396,C0213,2025-05-09,Delivered,UPI
O00397,C0374,2024-04-28,Cancelled,Credit Card
O00398,C0234,2024-12-22,Delivered,Credit Card
O00399,C0244,2025-06-17,Delivered,UPI
O00400,C0232,2025-03-24,Shipped,Debit Card
O00401,C0364,2024-03-09,Delivered,UPI
O00402,C0332,2024-01-24,Cancelled,UPI
O00403,C0380,2025-11-24,Processing,Credit Card
O00404,C0082,2025-06-12,Delivered,Debit Card
O00405,C0237,2025-07-27,Delivered,Credit Card
O00406,C0095,2026-03-27,Delivered,Credit Card
O00407,C0203,2025-10-17,Shipped,UPI
O00408,C0102,2026-01-25,Delivered,Cash on Delivery
O00409,C0003,2025-08-29,Delivered,Credit Card
O00410,C0361,2024-07-29,Delivered,UPI
O00411,C0275,2025-08-14,Delivered,Credit Card
O00412,C0235,2025-01-09,Delivered,UPI
O00413,C0251,2024-09-25,Shipped,Net Banking
O00414,C0199,2025-10-16,Delivered,Net Banking
O00415,C0179,2025-02-05,Delivered,Debit Card
O00416,C0089,2026-05-15,Delivered,Debit Card
O00417,C0345,2025-09-21,Delivered,Credit Card
O00418,C0157,2024-11-16,Delivered,UPI
O00419,C0073,2024-07-06,Delivered,Net Banking
O00420,C0071,2025-02-01,Delivered,Net Banking
O00421,C0250,2025-01-27,Delivered,Net Banking
O00422,C0089,2025-12-11,Cancelled,Net Banking
O00423,C0072,2024-06-19,Delivered,Credit Card
O00424,C0318,2024-11-18,Cancelled,UPI
O00425,C0005,2026-06-05,Delivered,Cash on Delivery
O00426,C0197,2024-05-19,Delivered,Net Banking
O00427,C0210,2025-06-01,Shipped,Cash on Delivery
O00428,C0228,2025-03-01,Shipped,Cash on Delivery
O00429,C0016,2024-06-20,Delivered,Credit Card
O00430,C0116,2024-10-26,Delivered,Net Banking
O00431,C0235,2024-10-22,Delivered,Net Banking
O00432,C0254,2026-01-30,Processing,Net Banking
O00433,C0059,2025-06-07,Delivered,Debit Card
O00434,C0188,2026-03-04,Delivered,Net Banking
O00435,C0390,2026-04-22,Processing,Cash on Delivery
O00436,C0218,2025-07-13,Delivered,UPI
O00437,C0385,2026-01-23,Cancelled,Credit Card
O00438,C0017,2024-10-31,Cancelled,Cash on Delivery
O00439,C0045,2024-09-26,Delivered,Cash on Delivery
O00440,C0398,2026-06-05,Returned,Credit Card
O00441,C0302,2024-08-02,Processing,Debit Card
O00442,C0324,2026-05-31,Shipped,Cash on Delivery
O00443,C0106,2024-06-18,Delivered,Credit Card
O00444,C0180,2026-04-04,Delivered,Net Banking
O00445,C0087,2024-10-14,Delivered,Debit Card
O00446,C0294,2025-12-21,Delivered,Debit Card
O00447,C0348,2026-05-28,Delivered,UPI
O00448,C0211,2024-05-18,Returned,UPI
O00449,C0065,2024-10-10,Cancelled,Credit Card
O00450,C0165,2024-09-12,Delivered,Credit Card
O00451,C0202,2026-02-18,Cancelled,Cash on Delivery
O00452,C0138,2024-05-25,Delivered,Cash on Delivery
O00453,C0325,2025-01-19,Delivered,UPI
O00454,C0143,2025-02-16,Delivered,Debit Card
O00455,C0168,2025-04-10,Returned,Net Banking
O00456,C0376,2024-01-03,Cancelled,UPI
O00457,C0326,2026-01-18,Returned,Debit Card
O00458,C0274,2026-05-20,Delivered,Cash on Delivery
O00459,C0109,2024-08-11,Returned,Cash on Delivery
O00460,C0146,2024-10-01,Delivered,Debit Card
O00461,C0290,2025-07-14,Delivered,Cash on Delivery
O00462,C0350,2026-03-18,Delivered,UPI
O00463,C0236,2024-02-17,Delivered,UPI
O00464,C0081,2024-05-07,Cancelled,Cash on Delivery
O00465,C0220,2025-04-12,Delivered,Credit Card
O00466,C0333,2025-12-06,Cancelled,Debit Card
O00467,C0141,2024-06-11,Cancelled,UPI
O00468,C0043,2025-11-01,Delivered,Debit Card
O00469,C0085,2025-11-11,Cancelled,UPI
O00470,C0372,2025-02-09,Shipped,Credit Card
O00471,C0361,2025-03-15,Shipped,UPI
O00472,C0040,2024-01-02,Delivered,Credit Card
O00473,C0349,2025-08-30,Delivered,Cash on Delivery
O00474,C0176,2024-01-10,Delivered,UPI
O00475,C0068,2026-05-30,Delivered,Cash on Delivery
O00476,C0046,2024-03-13,Delivered,UPI
O00477,C0154,2024-04-15,Delivered,Credit Card
O00478,C0386,2025-01-26,Processing,Credit Card
O00479,C0074,2025-10-18,Returned,UPI
O00480,C0313,2025-06-27,Delivered,Credit Card
O00481,C0110,2025-03-26,Delivered,Credit Card
O00482,C0227,2025-02-25,Delivered,Credit Card
O00483,C0072,2024-03-29,Cancelled,UPI
O00484,C0180,2025-08-26,Shipped,Cash on Delivery
O00485,C0127,2024-11-18,Processing,Debit Card
O00486,C0284,2025-10-22,Delivered,Net Banking
O00487,C0146,2025-09-06,Shipped,UPI
O00488,C0155,2026-05-18,Cancelled,Credit Card
O00489,C0097,2025-06-14,Delivered,Cash on Delivery
O00490,C0123,2024-10-29,Shipped,Cash on Delivery
O00491,C0256,2025-01-30,Delivered,Net Banking
O00492,C0007,2024-03-13,Delivered,Debit Card
O00493,C0292,2024-11-20,Delivered,Cash on Delivery
O00494,C0089,2025-01-09,Delivered,Cash on Delivery
O00495,C0301,2026-02-27,Delivered,UPI
O00496,C0021,2024-01-15,Delivered,UPI
O00497,C0147,2026-03-19,Delivered,Net Banking
O00498,C0360,2026-02-24,Delivered,Cash on Delivery
O00499,C0276,2024-03-25,Shipped,Net Banking
O00500,C0159,2024-06-05,Delivered,UPI
O00501,C0080,2025-06-07,Cancelled,Net Banking
O00502,C0325,2024-11-30,Delivered,UPI
O00503,C0374,2024-11-13,Shipped,Credit Card
O00504,C0223,2024-02-29,Delivered,UPI
O00505,C0029,2025-04-09,Delivered,Debit Card
O00506,C0380,2025-11-13,Processing,Credit Card
O00507,C0071,2024-05-02,Delivered,UPI
O00508,C0178,2024-06-16,Delivered,Net Banking
O00509,C0370,2025-06-13,Processing,Debit Card
O00510,C0384,2024-06-19,Delivered,Debit Card
O00511,C0395,2026-01-20,Cancelled,UPI
O00512,C0140,2024-12-09,Processing,Net Banking
O00513,C0296,2024-03-06,Delivered,UPI
O00514,C0185,2025-05-23,Delivered,UPI
O00515,C0086,2025-05-26,Cancelled,Debit Card
O00516,C0053,2024-06-10,Delivered,Net Banking
O00517,C0117,2025-11-21,Shipped,Net Banking
O00518,C0007,2024-01-03,Delivered,Credit Card
O00519,C0197,2024-02-17,Delivered,Credit Card
O00520,C0019,2024-07-02,Cancelled,Net Banking
O00521,C0380,2026-04-02,Cancelled,Cash on Delivery
O00522,C0214,2024-08-17,Delivered,Debit Card
O00523,C0293,2024-10-04,Cancelled,Debit Card
O00524,C0027,2024-05-02,Delivered,Credit Card
O00525,C0024,2024-08-16,Processing,Cash on Delivery
O00526,C0145,2024-03-11,Cancelled,Debit Card
O00527,C0234,2024-12-01,Delivered,UPI
O00528,C0289,2025-01-12,Delivered,Debit Card
O00529,C0238,2026-01-27,Shipped,Debit Card
O00530,C0396,2025-08-28,Returned,Credit Card
O00531,C0390,2026-01-20,Cancelled,Credit Card
O00532,C0210,2024-06-03,Delivered,UPI
O00533,C0326,2024-08-26,Delivered,UPI
O00534,C0337,2024-12-09,Delivered,Cash on Delivery
O00535,C0158,2026-05-19,Shipped,UPI
O00536,C0122,2024-07-29,Delivered,Cash on Delivery
O00537,C0073,2025-05-18,Returned,Debit Card
