product_id,product_name,category,unit_price,stock_quantity
P0057,Kunda-Zachariah Jacket,Fashion,6734.45,32
P0058,"Mandal, Business Book",Books,19519.27,59
P0059,Varkey-Trivedi Mixer Grinder,Home & Kitchen,28394.29,155
P0060,Sur-Bassi Programming Book,Books,3024.1,454
P0061,Hans-Nagi Moisturizer,Beauty,11732.74,189
P0062,"Butala, Perfume",Beauty,17669.73,372
P0063,"Walla, Table Lamp",Home & Kitchen,19689.07,426
P0064,Kala Exam Guide,Books,12314.5,487
P0065,Chawla-Jha T-Shirt,Fashion,20745.59,111
P0066,"Saran, Biography",Books,28522.59,437
P0067,Sharaf T-Shirt,Fashion,29430.12,188
P0068,Barad-Chahal Shampoo,Beauty,1929.24,141
P0069,Bhagat Mixer Grinder,Home & Kitchen,28476.44,421
P0070,Bobal-Kari Programming Book,Books,19923.53,328
P0071,Reddy-Rama Face Wash,Beauty,1631.29,170
P0072,Ravel-Sant Water Bottle,Home & Kitchen,23634.91,105
P0073,Badal-Ramachandran Keyboard,Electronics,6309.86,110
P0074,"Dani, Storage Box",Home & Kitchen,23258.13,403
P0075,"Bhatnagar, Face Wash",Beauty,8404.97,74
P0076,Thakkar-Cherian Cookware Set,Home & Kitchen,7609.55,89
P0077,Mitra-Chadha Wireless Earbuds,Electronics,4058.28,183
P0078,Sarma-Raj Cookware Set,Home & Kitchen,9794.29,89
P0079,Balasubramanian-Som T-Shirt,Fashion,3907.55,215
P0080,Walla Face Wash,Beauty,22400.48,243
P0081,Raman Business Book,Books,15455.55,55
P0082,Dhawan-Misra Exam Guide,Books,6739.91,314
P0083,"Prakash, Keyboard",Electronics,9132.71,329
P0084,Barman Wireless Earbuds,Electronics,29957.77,433
P0085,"Ramesh, Biography",Books,20620.59,251
P0086,Kade-Padmanabhan Programming Book,Books,26990.09,164
P0087,Sachar Moisturizer,Beauty,2082.59,140
P0088,"Dhar, Sunscreen",Beauty,16504.89,166
P0089,Krishnan Exam Guide,Books,15973.04,232
P0090,Golla Sunscreen,Beauty,12974.36,406
P0091,"Bhagat, Keyboard",Electronics,21658.7,110
P0092,Bhavsar-Krishna Biography,Books,26656.16,211
P0093,Hora Backpack,Fashion,12034.06,373
P0094,"Sur, Power Bank",Electronics,12871.71,340
P0095,Keer Sneakers,Fashion,28613.34,351
P0096,Boase-Hari Programming Book,Books,2845.8,43
P0097,Sunder-Seshadri Bluetooth Speaker,Electronics,3005.35,378
P0098,Mohan-Dua Jeans,Fashion,16744.36,300
P0099,"Patla, Sunscreen",Beauty,9969.82,62
P0100,Agrawal Business Book,Books,26223.39,481
P0101,Kant Programming Book,Books,29055.75,307
P0102,"Sarin, Sneakers",Fashion,3215.58,259
P0103,Narula Water Bottle,Home & Kitchen,19743.28,114
P0104,Sehgal-Parmer Power Bank,Electronics,25379.76,188
P0105,Sur-Chopra Power Bank,Electronics,17274.11,413
P0106,Bumb Exam Guide,Books,29239.45,419
P0107,Yohannan Sunscreen,Beauty,20288.3,285
P0108,Bose-Borra Keyboard,Electronics,27881.04,424
P0109,Tripathi T-Shirt,Fashion,5510.83,359
P0110,Ravel Sneakers,Fashion,10608.58,92
P0111,Bansal Cookware Set,Home & Kitchen,19761.46,35
P0112,Zacharia-Sodhi Mixer Grinder,Home & Kitchen,2861.72,271
P0113,"Dixit, Table Lamp",Home & Kitchen,12664.59,174
P0114,Mannan Storage Box,Home & Kitchen,9431.72,166
P0115,Thaker-Uppal Sunscreen,Beauty,2658.52,26
P0116,Ranganathan Water Bottle,Home & Kitchen,22662.54,25
P0117,"Anne, Power Bank",Electronics,13360.22,217
P0118,"Dey, Exam Guide",Books,13328.28,139
P0119,Dhingra Cookware Set,Home & Kitchen,3520.87,220
P0120,"Sule, Power Bank",Electronics,20385.15,303
